| 274387:4985 | 06/03/16 19:10:09 | 360  | 355  | 0.063778435    | 0.058817639   |
| 274388:4985 | 06/03/16 21:32:38 | 1820 | 1820 | 0.266131720    | 0.256527308   |
| 274420:4988 | 06/04/16 20:16:58 | 176  | 176  | 0.029986214    | 0.028364154   |
| 274421:4988 | 06/04/16 21:28:04 | 356  | 348  | 0.058970395    | 0.054434025   |
| 274422:4988 | 06/04/16 23:46:51 | 2207 | 2207 | 0.288627425    | 0.279871584   |
| 274440:4990 | 06/05/16 19:32:38 | 407  | 406  | 0.067723310    | 0.064168997   |
| 274441:4990 | 06/05/16 22:13:06 | 443  | 437  | 0.068510125    | 0.064548155   |
| 274442:4990 | 06/06/16 01:05:09 | 752  | 752  | 0.103278232    | 0.099915777   |
| 274954:5005 | 06/11/16 09:40:51 | 24   | 21   | 0.001360833    | 0.000974299   |
| 274955:5005 | 06/11/16 09:52:07 | 98   | 91   | 0.005444348    | 0.004820249   |
| 274968:5013 | 06/11/16 22:51:22 | 1206 | 1205 | 0.206776286    | 0.195698191   |
| 274969:5013 | 06/12/16 06:41:54 | 1007 | 1003 | 0.137658935    | 0.127759847   |
| 274970:5013 | 06/12/16 13:12:54 | 47   | 47   | 0.005763101    | 0.004336803   |
| 274971:5013 | 06/12/16 13:33:30 | 905  | 905  | 0.101595307    | 0.098459293   |
| 274998:5017 | 06/13/16 04:19:30 | 732  | 725  | 0.122789125    | 0.114126647   |
| 274999:5017 | 06/13/16 09:04:45 | 1257 | 1252 | 0.172086271    | 0.164254471   |
| 275000:5017 | 06/13/16 17:15:35 | 140  | 140  | 0.016957498    | 0.015947691   |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | 2057 | 0.204673305    | 0.199348168   |
| 275059:5020 | 06/14/16 16:49:52 | 50   | 42   | 0.009545888    | 0.006173178   |
| 275066:5020 | 06/14/16 17:45:35 | 111  | 105  | 0.022386851    | 0.018455627   |
| 275067:5020 | 06/14/16 18:28:40 | 396  | 396  | 0.075059031    | 0.071620415   |
| 275068:5020 | 06/14/16 21:05:49 | 922  | 921  | 0.149901050    | 0.143137052   |
| 275073:5020 | 06/15/16 03:32:47 | 523  | 519  | 0.071799329    | 0.068508877   |
| 275074:5020 | 06/15/16 06:56:59 | 647  | 647  | 0.078909615    | 0.076334143   |
| 275124:5021 | 06/15/16 17:50:26 | 328  | 328  | 0.059890435    | 0.056673718   |
| 275125:5021 | 06/15/16 20:00:21 | 989  | 989  | 0.157464292    | 0.150728669   |
| 275282:5024 | 06/17/16 00:05:52 | 96   | 91   | 0.016829141    | 0.014901711   |
| 275283:5024 | 06/17/16 00:43:11 | 137  | 132  | 0.024451785    | 0.022437984   |
| 275284:5024 | 06/17/16 01:36:53 | 74   | 74   | 0.012930306    | 0.012449043   |
| 275290:5024 | 06/17/16 03:58:56 | 55   | 48   | 0.008827542    | 0.002679610   |
| 275291:5024 | 06/17/16 04:28:35 | 356  | 352  | 0.054777261    | 0.051726835   |
| 275292:5024 | 06/17/16 06:46:47 | 125  | 121  | 0.017014722    | 0.015676583   |
| 275293:5024 | 06/17/16 07:37:27 | 200  | 200  | 0.026019764    | 0.025137954   |
| 275309:5026 | 06/17/16 13:48:15 | 573  | 570  | 0.087344146    | 0.082747896   |
| 275310:5026 | 06/17/16 17:32:53 | 1939 | 1935 | 0.231967786    | 0.223928386   |
