DatasetName                                     PROC_XSEC[pb]       Uncertainty[pb]     Accuracy
ttHToTauTau                                     0.031805312         -                   0.5071;6.272E-02(Htautau)**
GluGluHToWWTo2L2Nu                              1.102636344         -                   48.61;2.137E-01(HWW);0.1086X3(Wlnu);0.1086X3(Wlnu)**
GluGluHToZZTo4L                                 0.012980166         -                   48.61;2.619E-02(HZZ);0.033658X3(Zll);0.033658X3(Zll)**
WplusH_HToZZTo4L                                0.000221899         -                   0.831;2.619E-02(HZZ);0.033658X3(Zll);0.033658X3(Zll)**
WminusH_HToZZTo4L                               0.000140723         -                   0.527;2.619E-02(HZZ);0.033658X3(Zll);0.033658X3(Zll)**
ZH_HToBB_ZToLL                                  0.051750387         -                   0.880;5.824E-01(HBB);0.033658X3(Zll)**
ZH_HToZZ                                        0.0230472           -                   0.880;2.619E-02(HZZ)**
QCD_Pt-15To20                                   2797000.0           8800.0              unknown
QCD_Pt-20To30                                   2518000.0           7940.0              unknown
QCD_Pt-30To50                                   1361000.0           4263.0              unknown
QCD_Pt-50To80                                   377800.0            1184.0              unknown
QCD_Pt-80To120                                  88620.0             275.1               unknown
QCD_Pt-120To170                                 21070.0             65.28               unknown
QCD_Pt-170To300                                 7019.0              21.61               unknown
QCD_Pt-300To470                                 622.4               1.891               unknown
QCD_Pt-470To600                                 58.86               0.1776              unknown
QCD_Pt-600To800                                 18.22               0.05471             unknown	
QCD_Pt-800To1000                                3.25                0.0148              unknown	
QCD_Pt-1000ToInf                                1.043               0.155               LO
tZq_ll                                          0.07561             0.0002088           unknown
WJetsToLNu                                      53870.0             129.7               LO
WGToLNuG                                        412.7               1.027               LO
Signal_GluGlu                                   19.6                -                   -
Signal_VBF                                      1.55                -                   -
DYJetsToLL                                      3503.7              -                   -
TTbar                                           225.2               -                   -
W1JetsToLNu                                     6381.2              -                   -
W2JetsToLNu                                     2039.8              -                   -
W3JetsToLNu                                     612.5               -                   -
Source > > https://cms-gen-dev.cern.ch/xsdb/
Source[*] > > https://twiki.cern.ch/twiki/bin/viewauth/CMS/SummaryTable1G25ns
Source[**] > > https://twiki.cern.ch/twiki/bin/view/LHCPhysics/LHCHWG
Source[new1] > > https://twiki.cern.ch/twiki/bin/viewauth/CMS/StandardModelCrossSectionsat13TeV
Source[new2] > > https://twiki.cern.ch/twiki/bin/view/LHCPhysics/TtbarNNLO
Source[new3] > > https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SingleTopRefXsec
